LEA,AWARD,SCHOOL,PROJECT,ENOUGH ACT School ,ObjectID,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR
Prince George's County Board of Education,"$634,459",Margaret Brent Elementary (Margaret Brent Regional Center),NZE,,41171,24,5816 Lamont Ter,New Carrollton,MD,20784,24,24033,Prince George's County,21,38.9643,-76.8822,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2405,24022,24022,2022-2023
Board of Education of Anne Arundel County,"$2,010,154",Old Middle School North,NZE,,40029,24,610 Patriot Ln,Millersville,MD,21108,24,24003,Anne Arundel County,21,39.12388,-76.627,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2403,24032,24032,2022-2023
Board of Education of Somerset County,"$77,573",Princess Anne Primary,LEDs,,41242,24,11576 Lankford Street,Princess Anne,MD,21853,24,24039,Somerset County,31,38.199,-75.6953,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438A,24038,2022-2023
Board of Education of Anne Arundel County,"$750,000",Quarterfield Elementary,Solar,,40038,24,7967 Quarterfield Rd,Severn,MD,21144,24,24003,Anne Arundel County,21,39.1343,-76.6546,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2403,24032,24032,2022-2023
Board of Education of Anne Arundel County,"$750,000",Rippling Woods Elementary,Solar,,40041,24,530 Nolfield Dr,Glen Burnie,MD,21061,24,24003,Anne Arundel County,21,39.1285,-76.6285,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2403,24032,24032,2022-2023
Kent County Public Schools,"$145,415",Rock Hall Elementary School,LEDs,,40800,24,21203 Sharp St,Rock Hall,MD,21661,24,24029,Kent County,42,39.13503,-76.2375,N,N,0,N,N,N,N,2401,24036,24036,2022-2023
Garrett County Board of Education,"$2,500,000",Route 40 Elementary,Heating Electrification,,40658,24,17764 National Pike,Frostburg,MD,21532,24,24023,Garrett County,41,39.68682,-79.0104,N,N,0,N,N,N,N,2406,2401A,24001,2022-2023
Garrett County Board of Education,"$770,000",Route 40 Elementary,Solar,,40658,24,17764 National Pike,Frostburg,MD,21532,24,24023,Garrett County,41,39.68682,-79.0104,N,N,0,N,N,N,N,2406,2401A,24001,2022-2023
Wicomico County Board of Education,"$50,000",Salisbury Middle School,Solar (TA),,41325,24,607 Morris St,Salisbury,MD,21801,24,24045,Wicomico County,23,38.3824,-75.6058,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2437A,24037,2022-2023
Board of Education of Anne Arundel County,"$750,000",Severn Run High,Solar,,999991,24,8065 New Cut Rd,Severn,MD,21108,24,24003,Anne Arundel County,21,39.12176424,-76.64292533,12580,"Baltimore-Columbia-Towson, MD",,,,,,,,,
Board of Education of Dorchester County,"$500,000",South Dorchester (Elementary) School,Heating Electrification,,40576,24,3485 Golden Hill Road,Church Creek,MD,21622,24,24019,Dorchester County,42,38.39825,-76.187,15700,"Cambridge, MD",2,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2437B,24037,2022-2023
Board of Education of Dorchester County,"$1,050,000",South Dorchester (Elementary) School,Solar,,40576,24,3485 Golden Hill Road,Church Creek,MD,21622,24,24019,Dorchester County,42,38.39825,-76.187,15700,"Cambridge, MD",2,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2437B,24037,2022-2023
Board of Education of Worcester County,"$572,884",Stephen Decatur High School,LEDs,,41361,24,9913 Seahawk Rd,Berlin,MD,21811,24,24047,Worcester County,32,38.3417,-75.1903,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438A,24038,2022-2023
Calvert County Public Schools,"$983,736",Sunderland Elementary School,Heating Electrification,,40443,24,150 Clyde Jones Rd,Sunderland,MD,20689,24,24009,Calvert County,41,38.6701,-76.603,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2405,2427B,24027,2022-2023
Wicomico County Board of Education,"$50,000",Wicomico High School,Solar (TA),,41347,24,201 Long Avenue,Salisbury,MD,21804,24,24045,Wicomico County,23,38.36552,-75.5807,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438B,24038,2022-2023
